# Language File – MOD_BLOG
# GERMAN
# ----- blog module -----
"Digitalus CMS";"Digitalus CMS"
"blog";"Blog"
"Blog Module";"Blog Modul"
"Create Blog";"Blog erstellen"
"Update Blog";"Blog aktualisieren"
"Add New Post";"Füge neuen Beitrag hinzu"
"Update Post";"Beitrag aktualisieren"
"There are no blogs to view!";"Es gibt momentan keine Blogs"
"The blog module enables you to publish multiple blogs on your site.";"Das Blog Modul ermöglicht es, mehrere Blogs auf Ihren Seiten zu veröffentlichen."
"Create a new blog";"Neuen Blog erzeugen"
"Current Blogs";"Aktuelle Blogs"
"You do not have any blogs currently";"Es gibt momentan keine Blogs"
"Blog Posts";"Blog Beiträge"
"Blog Post";"Blog Beitrag"
"This blog does not have any posts";"Dieser Blog enthält keine Beiträge"
"Update Post";"Beitrag aktualisieren"
"Back to";"zurück zu"
"Select the blog";"Wähle Blog aus"
"Written by";"Geschrieben von"
"on";"am"
"View All";"Alle ansehen"
"Blog Name";"Name des Blogs"
"Title";"Titel"
