# Language File – BACKEND
# FRENCH
"Digitalus CMS";"Digitalus CMS"
# languages
"english";"Anglais"
"french";"Français"
"german";"Allemand"
"italian";"Italien"
"polish";"Polonais"
"russian";"Russe"
"spanish";"Espagnol"
"swedish";"Suédois"
# admin section -- Auth --
"Login";"Connexion"
"The username or password you entered was not correct.";"Le nom d'utilisateur ou le mot de passe que vous avez entré n'est pas correct."
"Your password has been reset for security and sent to your email address";"Pour des raisons de sécurité, votre mot de passe a été réinitialisé et envoyé à votre adresse email"
"Sorry, there was an error sending you your updated password. Please contact us for more help.";"Désolé, une erreur est survenue lors de l'envoi de votre nouveau mot de passe. Veuillez nous contacter pour plus de renseignements."
"Sorry, we could not locate your account. Please contact us to resolve this issue.";"Désolé, nous ne trouvons pas votre compte, Veuillez nous contacter pour résoudre ce problème."
"OpenID Login";
"Need Help?";"Besoin d'aide?"
"Digitalus CMS gives You the possibilty to use Your existing OpenID to login to the administrator area.";
"If you are having trouble logging in please enter your email address below and we will send you your login credentials.";"Si vous avez des problèmes pour vous connecter, veuillez entrer votre adresse email plus bas et nous vous enverrons votre identifiant et mot de passe."
"Reset Password";"Réinitialiser le mot de passe"
"Administrator Login";"Connexion de l'administrateur"
"Please enter your username (this is your email address) and password to get started.";"Veuillez entrer votre nom d'utilisateur (c'est votre adresse email) et votre mot de passe pour commencer."
"Standard Login";
"Return to the standard login using Your username and password.";
"Administrator OpenID Login";
"Please enter your OpenID. You will be redirected to Your OpenId provider to authorize.";
# admin section -- Design --
"Design";"Design"
"Open";"Ouvrir"
"Add to my bookmarks";"Ajouter à mes marque-pages"
"Delete";"Supprimer"
"Design Options";"Options de Design"
"Create a new design";"Créer un nouveau design"
"Design Name";"Nom du design"
"Design Notes";"Notes sur le design"
"Create Design";"Créer un design"
"Current Designs";"Designs en cours"
"Tools";"Outils"
"Preview Design";"Prévisualiser le design"
"Who Uses This?";"Qui utilise ceci?"
"These are the pages that use this design:";"Voici les pages qui utilisent ce design:"
"No pages use this design currently.";"Aucune page n'utilise ce design pour l'instant."
"Update Design";"Mise à jour du design"
"Design details";"Détail du design"
"This is the default site design";"Design par défaut du site"
"Layout";"Layout"
"Skin";"Skin"
# admin section -- Error --
"Sorry, you are not authorized to edit this resource!";"Désolé, vous n'êtes pas autorisé à modifier cette ressource!"
# admin section -- Index --
"Home";"Accueil"
"Your bookmark was saved successfully.";"Votre marque-page a été sauvegardé avec succès."
"My Content";"Mon contenu"
"The following pages are the pages that you have recently created.";"Les pages suivantes sont les pages que vous avez récemment créées."
"These are the modules that you are working with.";"Voici les modules avec lesquels vous êtes en train de travailler."
"These pages have not been published yet.";
"My Dashboard";"Mon tableau de bord"
"My Account";"Mon compte"
"First Name";"Prénom"
"Last Name";"Nom"
"Email";"Email"
"Update Password?";"Mettre à jour le mot de passe?"
"Password";"Mot de passe"
"Confirm";"Confirmer"
"Update My Account";"Mettre à jour mon compte"
"My Bookmarks";"Mes marque-pages"
"You do not have any bookmarks.";"Vous n'avez aucun marque-page."
"My Writeboard";"Mon tableau de notes"
"The writeboard is a personal spot for you to keep notes about your site.";"Le tableau de notes est un endroit personnel pour vous permettre de garder des notes à propos de votre site."
"Save My Writeboard";"Sauvegarder mon tableau de notes"
"Digitalus CMS is a community supported open source project. To learn more about the project check out";"Digitalus CMS est un projet open source communautaire. Pour en savoir plus sur ce projet, vous pouvez aller voir"
"Digitalus Site";"Site Digitalus"
"Wiki";"Wiki"
"Forum";"Forum"
# admin section -- Media --
"Media";"Média"
"Open Folder";"Ouvrir le dossier"
"Options";"Options"
"Media Manager";"Gestionnaire de média"
"Create New Folder";"Créer un nouveau dossier"
"Browse Folder";"Parcourir le dossier"
"Upload Media";"Uploader le média"
"Create Subfolder";"Créer un sous-dossier"
"Rename Folder";"Renommer le dossier"
"Current Folder";"Dossier en cours"
"Media Root";"Racine de média"
"Current folder contents";"Contenu du dossier en cours"
"Upload Files";"Uploader les fichiers"
"Rename folder";"Renommer le dossier"
"Folder Name";"Nom du dossier"
"Create Folder";"Créer un dossier"
"Subfolders";"Sous-dossier"
"Full path";"Chemin complet"
"Files";"Fichiers"
"New Name";"Nouveau nom"
"Select the files to upload";"Sélectionner les fichiers à uploader"
"You do not have any media files on the server";"Vous n'avez aucun fichier de média sur le serveur"
# admin section -- Module --
"Modules";"Modules"
"Download";"Télécharger"
"CMS Modules";"Modules CMS"
"Digitalus CMS uses a system of modules to add custom functionality to your site.";"Digitalus CMS utilise un système de modules pour ajouter des fonctionnalitées personnalisées à votre site."
"Select the module page";"Sélectionner un module de page"
"My Modules";"Mes Modules"
# admin section -- Navigation --
"Navigation";"Navigation"
"Open Menu";"Ouvrir le menu"
"Current Menu";"Menu en cours"
"Update Menu";"Mise à jour du menu"
"click to toggle visibility";"Cliquez pour changer la visibilité"
"open page";
"Save Changes";"Sauvegarder les changements"
"Main Menu";"Menu principal"
# admin section -- Page --
"Pages";"Pages"
"Sorry, there was an error adding your page";"Désolé, il y a eu une erreur lors de l'ajout de votre page"
"Sorry, there was an error opening your page";"Désolé, il y a eu une erreur lors de l'ouverture de votre page"
"Page";"Page"
"Page Title";"Titre de la page"
"Filename";"Nom du fichier"
"Meta Description";"Description"
"Meta Keywords";"Mots clés"
"Search Tags";"Tags servant à la recherche"
"Update Meta Data";"Mettre à jour les méta données"
"Publish or Archive Page";
"Publish or Archive";
"Step 3: Enter the name for your page";"Etape 3: Entrez le nom de votre page"
"Page Name";"Nom de la page"
"Create Page";"Créer une page"
"Page Options";"Options de Page"
"Content Sections";"Sections de contenu"
"Page Head and Meta Data";"Entête de page et méta données"
"Properties";"Propriétés"
"Attachments";"Pièces jointes"
"Related Content";"Contenu associé"
"Content Template";"Modèle de contenu"
"Move Page";"Déplacer la page"
"Publish / Archive";
"Page Versions";"versions de page"
"Update Page";"Mettre à jour une page"
"main items";
"Edit Meta Data";"Editer les méta données"
"Edit Page Properties";"Editer les propriétés de page"
"Publish / Archive Page";
"Content";"Contenu"
"Current design";"Design en cours"
"Open design";"Ouvrir le design"
"The design is not yet set for this page.";"Le design de cette page n'est pas encore défini."
"Other designs";"Autres designs"
"Make current";"Affecter"
"Click the new parent page for this page to move it.";"Cliquer sur la page parente pour y déplacer cette page."
