# Language File – BACKEND
# GERMAN
# languages
"english";"Englisch"
"french";"Französisch"
"german";"Deutsch"
"italian";"Italienisch"
"polish";"Polnisch"
"russian";"Russisch"
"spanish";"Spanisch"
"swedish";"Schwedisch"
# admin section -- Auth --
"Login";"Anmelden"
"The username or password you entered was not correct.";"Der Benutzername oder das Passwort ist nicht richtig."
"Your password has been reset for security and sent to your email address";"Das Passwort wurde zurückgesetzt und an Ihre Email-Adresse gesendet"
"Sorry, there was an error sending you your updated password. Please contact us for more help.";"Beim Versenden des aktualisierten Passworts ist ein Fehler aufgetreten. Bitte Kontaktieren Sie uns für weitere Hilfe."
"Sorry, we could not locate your account. Please contact us to resolve this issue.";"Wir konnten Ihr Konto nicht finden. Bitte kontaktieren Sie uns, um dieses Problem zu lösen."
"OpenID Login";"OpenID Anmeldung"
"Need Help?";"Brauchen Sie Hilfe?"
"Digitalus CMS gives You the possibilty to use Your existing OpenID to login to the administrator area.";"Das Digitalus CMS ermöglicht es Ihnen, Ihre bestehende OpenID zum Anmelden in den Administratorbereich zu verwenden."
"If you are having trouble logging in please enter your email address below and we will send you your login credentials.";"Wenn Sie Probleme beim Anmelden haben, geben Sie bitte Ihre Email-Adresse unten ein und Sie bekommen ein neues Passwort zugeschickt."
"Reset Password";"Passwort zurücksetzen"
"Administrator Login";"Administrator anmelden"
"Please enter your username (this is your email address) and password to get started.";"Bitte gib deinen Benutzernamen (deine Email-Adresse) und dein Passwort ein um zu beginnen."
"Standard Login";"Standard Anmeldung"
"Return to the standard login using Your username and password.";"Zurück zur Standard Anmeldung mit Benutzername und Passwort."
"Administrator OpenID Login";"Administrator OpenID Anmeldung"
"Please enter your OpenID. You will be redirected to Your OpenId provider to authorize.";"Bitte geben Sie Ihre OpenID ein. Sie werden dann zu Ihrem OpenID-Provider zur Authentifizierung weitergeleitet."
# admin section -- Design --
"Design";"Design"
"Open";"Öffnen"
"Add to my bookmarks";"Zu Favoriten hinzufügen"
"Delete";"Löschen"
"Design Options";"Design Optionen"
"Create a new design";"Erzeuge neues Design"
"Design Name";"Design Name"
"Design Notes";"Design Notizen"
"Create Design";"Design erstellen"
"Current Designs";"Aktuelles Design"
"Tools";"Werkzeuge"
"Preview Design";"Design Vorschau"
"Who Uses This?";"Wer nutzt dies?"
"These are the pages that use this design:";"Diese Seiten verwenden dieses Design:"
