# Language File – BACKEND
# SPANISH
# languages
"english";"ingles"
"french";"frances"
"german";"aleman"
"italian";
"polish";"polaco"
"russian";"ruso"
"spanish";
"swedish";"sueco"
#  admin section -- Auth --
"Login";"Login"
"You must enter a username.";"Debe ingresar el username."
"You must enter a password.";"Debe ingresar el password."
"The username or password you entered was not correct.";"El username o password no es correcto."
"Your password has been reset for security and sent to your email address";"Su password fue resetado por seguridad y reenviado a su email."
"Sorry, there was an error sending you your updated password.  Please contact us for more help.";"Disculpe, hubo un error reenviando su password. Por favor, contactenos para ayuda."
"Sorry, we could not locate your account. Please contact us to resolve this issue.";"Disculpe, no pudimos hayar su cuenta. Por favor contactenos para resolver este problema."
"Need Help?";"¿necesita ayuda?"
"If you are having trouble logging in please enter your email address below and we will send you your login credentials.";"Si esta teniendo problemas logueandose, por favor ingrese su email abajo y le enviaremos la informacion para loguearse."
"Reset Password";"Reset password"
"Administrator Login";"Login de Administrador "
"Please enter your username (this is your email address) and password to get started.";"Por favor, ingrese su username (email) y password para empezar."
"Username";"Username"
"Password";"Password"
"Log In";"Log In"
#  admin section -- Design --
"Design";"Diseño"
"Open";"Abierto"
"Add to my bookmarks";"Agregar a mis favoritos."
"Delete";"Eliminar"
"Design Options";"Opciones de diseño"
"Create a new design";"Crear un nuevo diseño"
"Design Name";"Nombre del diseño"
"Design Notes";"Notas del diseño"
"Create Design";"Crear diseño"
"Current Designs";"Diseño actual"
"Tools";"Herramientas"
"Preview Design";"Preview del Diseño "
"Who Uses This?";"Quien usa esto?"
"These are the pages that use this design:";"Estas son las páginas que usan este diseño:"
"No pages use this design currently.";"Ninguna página usa este diseño actualmente."
"Update Design";"Update diseño"
"Design details";"Detalles del diseño"
"This is the default site design";"Este es el default diseño del sitio."
"Layout";"Layout"
"Skin";"Skin"
#  admin section -- Error --
"Sorry, you are not authorized to edit this resource!";"Disculpe, no está autorizado para editar este recurso."
#  admin section -- Index --
"Home";"Home"
"Your bookmark was saved successfully.";"El favorito fue guardado exitosamente."
"My Content";"Mi contenido"
"The following pages are the pages that you have recently created.";"Las siguientes páginas son las que creaste recientemente."
"These are the modules that you are working with.";"Estos son los módulos con los que has estado trabajando."
"My Dashboard";"Mi borrador"
"My Account";"Mi cuenta"
"First Name";"Nombre"
"Last Name";"Apellido"
"Email";"Email"
"Update Password?";"¿Update Password?"
"Confirm";"Confirmar"
"Update My Account";"Update mi cuenta"
"My Bookmarks";"Mis Bookmarks"
"You do not have any bookmarks.";"No tiene bookmarks"
"My Writeboard";"Mi Writeboard"
"The writeboard is a personal spot for you to keep notes about your site.";"El writeboard es un punto personal donde puedes guardar notas acerca de tu sitio."
"Save My Writeboard";"Guardar mi Writeboard"
"Digitalus CMS is a community supported open source project. To learn more about the project check out";"Digitalus CMS es una comunidad apoyada por open source project. Pasa saber mas sobre este proyecto chequea"
"Digitalus Site";"Digitalus Site"
"Wiki";"Wiki"
"Forum";"Foro"
#  admin section -- Media --
"Media";"Media"
"Open Folder";"abrir carpeta"
"Options";"Opciones"
"Media Manager";"Media Manager"
"Create New Folder";"Crear nueva carpeta"
"Browse Folder";"Browse carpetas"
"Upload Media";"Upload media"
"Create Subfolder";"Crear subcarpeta"
"Rename Folder";"Renombrar carpeta"
"Current Folder";"Carpeta actual"
"Media Root";"Media Root"
"Current folder contents";"Contenidos de la carpeta actual"
"Upload Files";"Upload archivos"
"Rename folder";"Renombrar carpeta"
"Folder Name";"Nombre carpeta"
"Create Folder";"Crear carpeta"
"Subfolders";"Subcarpetas"
"Full path";"Ruta completa"
"Files";"Archivos"
"New Name";"Nuevo nombre"
"Select the files to upload";"Selecciona los archivos para upload"
"You do not have any media files on the server";"No tenes archvos media en el servidor"
#  admin section -- Module --
"Modules";"Modulos"
"Download";"Download"
"CMS Modules";"Modulos CMS"
"Digitalus CMS uses a system of modules to add custom functionality to your site.";"Digitalus CMS usa un sistema de modulos para agregar funcionalidad a tu sitio."
"Select the module page";"Seleccioná la página de modulos"
"My Modules";"Mis modulos"
#  admin section -- Navigation --
"Navigation";"navegación"
"Open Menu";"Abrir menu"
"Current Menu";"Menú actual"
"Update Menu";"Update menú"
"Save Changes";"Guardar cambios"
"Main Menu";"Menú principal"
#  admin section -- Page --
"Pages";"Páginas"
"Sorry, there was an error adding your page";"Disculpá, hubo un error agregando tu página"
"Sorry, there was an error opening your page";"Disculpá, hubo un error abriendo tu página"
"Page";"Página"
"Page Title";"Titulo de página"
"Filename";"Nombre del archivo"
"Meta Description";"Descripción Meta"
"Meta Keywords";"Keywords Meta"
"Search Tags";"Buscar etiquetas"
"Update Meta Data";"Update información Meta"
"Step 3: Enter the name for your page";"Paso 3: Agregar el nombre para tu página."
"Page Name";"Nombre de la página"
"Create Page";"Crear página"
"Content";"Contenido"
"Current design";"Diseño actual"
"Open design";"Abrir diseño"
"The design is not yet set for this page.";"El diseño todavia no esta establecido para esta página."
"Other designs";"Otros diseños"
"Make current";"Hacer actual"
"Click the new parent page for this page to move it.";"Clickear el nuevo padre para mover esta página."
"Page Options";"Opciones de página"
"Content Sections";"Secciones de contenido"
"Page Head and Meta Data";"Titulo de página e información Meta"
"Properties";"Propiedades"
"Attachments";"Adjuntos"
"Related Content";"Contenidos relacionados"
"Content Template";"Contenido de plantilla"
"Move Page";"Mover página"
"Page Versions";"Versiones de página"
"Update Page";"Página update "
"Edit Meta Data";"Editar información Meta"
"Edit Page Properties";"Editar propiedades de página"
"Remove";"Remover"
"Property";"Característica"
"Value";"Valor"
