# Language File – MOD_CONTACT
# FRENCH
# ----- contact module -----
"Digitalus CMS";"Digitalus CMS"
"Contact Form";"Formulaire de contact"
# admin section – Contact --
"Contact";"Contact"
"Module";"Module"
"Options"
"The contact module enables you to publish contact forms on your site.";"Le module de contact vous permet de publier des formulaire de contact sur votre site."
"You can set the following options on the contact form:";"Vous pouvez définir les options suivantes sur le formulaire de contact:"
"Recipient";"Destinataire"
"who you want to receive the messages";"Le destinataire qui va recevoir les messages"
"Recipient's email";"Email du destinataire"
"the recipient's email address";"L'adresse email du destinataire"
"Your Name";"Votre nom"
"Your name is required!";"Votre nom est requis!"
"Your Email";"Votre adresse email"
"Invalid email address!";"Adresse email invalide!"
"Subject";"Sujet"
"The subject is required!";"Le sujet est requis!"
"Message"
"The message is required!";"Le message est requis!"
"Please verify you're a human";"Nous devons vérifier que vous êtes humain"
"Send Message";"Envoyer"
"Enter the recipients email:";"Entrer l'email du destinataire:"
"Thanks for contacting us!";"Merci de votre message!"
"Your message was successfully sent and we will reply promptly.";"Votre message a été envoyé avec succès et sera bientôt traité."
"New message from";"Nouveau message de"
"Sent on";"envoyé le"
# END
