# Language File – BACKEND
# FRENCH
# ----- layout -----
"Digitalus CMS";""
"Current User";"Utilisateur en cours"
"Role";"Rôle"
"Log Out";"Déconnexion"
"Log In";"Connexion"
"Login";"Connexion"
"Home";"Accueil"
"Site";""
"Pages";""
"Navigation";""
"Design";""
"Modules";""
"Public Site";"Site publique"
"value";"valeur"
# ----- toolbar -----
"You are here";"Vous êtes ici"
"Add to my bookmarks";"Ajouter à mes marque-pages"
"Delete";"Supprimer"
# ----- admin home -----
"Digitalus CMS is a community supported open source project. To learn more about the project check out";"Digitalus CMS est un projet open source communautaire. Pour en savoir plus sur ce projet, vous pouvez aller voir"
"Digitalus Site";"Site Digitalus"
"Wiki";""
"Forum";""
"Training and Support";"Formation et Assistance"
"If you need any help building or managing your site check out our support options.";"Si vous avez besoin d'aide pour construire ou gérer votre site, vous pouvez visiter nos options de support."
"My Dashboard";"Mon tableau de bord"
"My Account";"Mon compte"
"My Bookmarks";"Mes marque-pages"
"You do not have any bookmarks.";"Vous n'avez aucun marque-page."
"My Writeboard";"Mon tableau de notes"
"The writeboard is a personal spot for you to keep notes about your site.";"Le tableau de notes est un endroit personnel pour vous permettre de garder des notes à propos de votre site."
"You have no notes to view";"Vous n'avez aucune note"
"Save My Writeboard";"Sauvegarder mon tableau de notes"
"My Content";"Mon contenu"
# ----- admin_auth -----
"Administrator Login";"Connexion de l'administrateur"
"Admin User Login";"Connexion de l'administrateur"
"Reset Password";"Réinitialiser le mot de passe"
"Admin Login";"Connexion de l'administrateur"
"Please enter your username (this is your email address) and password to get started.";"Veuillez entrer votre nom d'utilisateur (c'est votre adresse email) et votre mot de passe pour commencer."
"Username";"Nom d'utilisateur"
"Password";"Mot de passe"
"Confirm Password";"Confirmer le mot de passe"
"Log In";"Connexion"
"If you are having trouble logging in please enter your email address below and we will send you your login credentials.";"Si vous avez des problèmes pour vous connecter, veuillez entrer votre adresse email plus bas et nous vous enverrons votre identifiant et mot de passe."
"Send Reminder";"Envoyer un rappel"
"Your password has been reset for security and sent to your email address";"Pour des raisons de sécurité, votre mot de passe a été réinitialisé et envoyé à votre adresse email"
"Sorry, there was an error sending you your updated password. Please contact us for more help.";"Désolé, une erreur est survenue lors de l'envoi de votre nouveau mot de passe. Veuillez nous contacter pour plus de renseignements."
"Sorry, we could not locate your account. Please contact us to resolve this issue.";"Désolé, nous ne trouvons pas votre compte, Veuillez nous contacter pour résoudre ce problème."
"Errors";"Erreurs"
"The following errors have occurred";"Les erreurs suivantes sont survenues"
"The username or password you entered was not correct";"Le nom d'utilisateur ou le mot de passe que vous avez entré n'est pas correct"
"You must enter a username";"Vous devez entrer un nom d'utilisateur"
"You must enter a password";"Vous devez entrer un mot de passe"
# ----- admin_user -----
"Update My Account";"Mettre à jour mon compte"
