# Language File: GERMAN - FRONTEND

# ----- view helper -----
"english";"Englisch"
"french";"Französisch"
"german";"Deutsch"
"polish";"Polnisch"
"language";"Sprache"
"You are reading this page in";"Sie lesen dies in"
"This page is also translated into";"Diese Seite wurde in folgende Sprachen übersetzt:"

# ----- Custom Translations -----
"Login";"Anmelden"
"Imprint";"Impressum"
"Contact";"Kontakt"
"last update";"zuletzt geändert am"

"Layout based on";"Layout basiert auf"
"Powered by";"Unterstützt von"
