# admin section -- Mod_Login --
# GERMAN
# admin section -- Index --
"Digitalus CMS";"Digitalus CMS"
"Login";"Anmelden"
"Login Module";"Anmelde-Modul"
"The login module enables Your website visitors to login and self-register for Your services.";"Das Anmelde-Modul ermölicht es ihren Webseiten-Besuchern sich anzumelden und für ihr Angebot selbst zu registrieren."
"The registration process is split into two parts.";"Der Registrierungsprozess ist in zwei Teile aufgeteilt."
"The website vistor is presented a form containing a field for username and email address. After sending his information he is presented his new password on the screen (it is not sent via email)"
"An email is sent to the new member with a request to confirm the email address, which is done with a link to Your website (challenge approach)."
"A special database is needed which holds the challenge data. Please verify that this database exists."
"In the backend You can set the acl role for new members and the text for the confirmation email."
"The username or password you entered was not correct.";"Der Benutzername oder das Passwort waren nicht korrekt."
"Error: No valid challenge was found. Please register again!";"Fehler: keine gültige Challenge gefunden. Bitte registrieren Sie sich erneut!"
"Error: could not activate user!";"Fehler: Benutzer konnte nicht aktiviert werden!"
"Congratulations!<br />Your user has been activated successfully!<br /><br />Have a lot of fun in the restricted area!";"Herzlichen Glückwunsch!<br />Ihr Benutzer wurde erfolgreich aktiviert!<br /><br />Viel Spaß im geschützten Bereich!"
"Select Acl role";"Acl-Rolle auswählen"
"Confirmation email text";"Inhalt der Bestätigungsemail"
"Your registration was successful.";"Ihre Registrierung war erfolgreich."
"An email was just sent to Your email address";"Ihnen wurde soeben eine Email geschickt."
"Your account is being activated as soon as You verify Your email address by clicking the link in that email!";"Ihr Benutzer-Konto wird aktiviert sobald Sie Ihre Email-Adresse durch einen Klick auf den Link in der Email verifiziert haben!"
"You have to finalize the registration within %s day(s).";"Sie müssen den Registrierungsprozess inerhalb von %s Tag(en) abschließen."
"The password for the protected area is as follows:";"Das Passwort für den geschützten Bereich lautet:"
"Please make a note of this password as it is neither repeated nor restorable from the database.";"Bitte notieren Sie sich das Passwort, weil es weder wiederholt noch aus der Datenbank wiederhergestellt werden kann."
"For security reasons, please change Your password as soon as Your registration process is completed.";"Aus Sicherheitsgründen ändern Sie das Passwort bitte sobald der Registrierungsprozess beendet ist."
"Your registration was NOT successful. Something terribly went wrong!";"Ihre Registrierung war NICHT erfolgreich. Etwas ist gründlich schief gelaufen!"
