# Language File – ZEND_FORM
# GERMAN
# Zend – Validate –
"Digitalus CMS";"Digitalus CMS"
"'%hostname%' does not appear to have a valid MX record for the email address '%value%'";"'%hostname%' scheint keinen gültigen MX Wert für die Email-Adresse '%value%' zu haben"
"'%hostname%' is not a valid hostname for email address '%value%'";"'%hostname%' ist kein gültiger Hostname für die Email-Adresse '%value%'"
"'%localPart%' is not a valid local part for email address '%value%'";"'%localPart%' ist kein gültiger Lokalteil für die Email-Adresse '%value%'"
"'%localPart%' not matched against dot-atom format";"'%localPart%' passt nicht zum dot-atom Format"
"'%localPart%' not matched against quoted-string format";"'%localPart%' passt nicht zum quoted-string Format"
"'%value%' appears to be a DNS hostname but cannot extract TLD part";"'%value%' scheint ein DNS Hostname zu sein, aber der TLD Teil kann nicht extrahiert werden"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list";"'%value%' scheint ein DNS Hostname zu sein, aber die TLD ist nicht in der Liste mit bekannten TLDs"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'";"'%value%' scheint ein DNS Hostname zu sein, aber passt nicht zum Hostname Schema für die TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash (-) in an invalid position";"'%value%' scheint ein DNS Hostname zu sein, aber enthält einen Bindestrich (-) an einer ungültigen Position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded";"'%value%' scheint ein DNS Hostname zu sein, aber die übergebene Punycode Notation konnte nicht erkannt werden"
"'%value%' appears to be a local network name but local network names are not allowed";"'%value%' scheint ein lokaler Netzwerkname zu sein, aber lokale Netzwerknamen sind nicht erlaubt"
"'%value%' appears to be an IP address, but IP addresses are not allowed";"'%value%' scheint eine IP-Adresse zu sein, aber IP-Adressen sind nicht erlaubt"
"'%value%' contains not only digit characters";"'%value%' enthält nicht nur Ziffern"
"'%value%' does not appear to be a float";"'%value%' scheint keine Fließkommazahl zu sein"
"'%value%' does not appear to be a valid IP address";"'%value%' scheint kein gültige IP-Addresse zu sein"
"'%value%' does not appear to be a valid date";"'%value%' scheint kein gültiges Datum zu sein"
"'%value%' does not appear to be a valid local network name";"'%value%' scheint kein gültiger lokaler Netzwerkname zu sein"
"'%value%' does not appear to be an integer";"'%value%' ist keine Ganzzahl"
"'%value%' does not fit given date format";"'%value%' passt nicht zum übergebenen Datumsformat"
"'%value%' does not have IBAN";"'%value%' hat keine IBAN"
"'%value%' does not match against pattern '%pattern%'";"'%value%' passt nicht zum Pattern '%pattern%'"
"'%value%' does not match the expected structure for a DNS hostname";"'%value%' passt nicht zur erwarteten Struktur für einen DNS Hostname"
"'%value%' exceeds the allowed length";"'%value%' überschreitet die erlaubte Länge"
"'%value%' has a false format";"'%value%' hat ein falsches Format"
"'%value%' has failed the IBAN check";"'%value%' hat die IBAN-Prüfung nicht bestanden"
"'%value%' has not only alphabetic and digit characters";"'%value%' enthält nicht nur Buchstaben und Ziffern"
"'%value%' has not only alphabetic characters";"'%value%' enthält nicht nur Buchstaben"
"'%value%' has not only hexadecimal digit characters";"'%value%' enthält nicht nur Hexadezimalzahlen"
"'%value%' is an empty string";"'%value%' ist kein leerer String"
"'%value%' is an invalid EAN-13 barcode";"'%value%' ist ein ungültiger EAN-13 Barcode"
"'%value%' is an invalid UPC-A barcode";"'%value%' ist ein ungültiger UPC-A Barcode"
"'%value%' is greater than %max% characters long";"'%value%' ist mehr als %max% Zeichen lang"
"'%value%' is less than %min% characters long";"'%value%' ist weniger als %min% Zeichen lang"
"'%value%' is not a valid email address in the basic format local-part@hostname";"'%value%' ist keine gültige Email-Adresse im Grundformat local-part@hostname"
"'%value%' is not between '%min%' and '%max%', inclusively";"'%value%' ist nicht zwischen '%min%' und '%max%', inklusive"
"'%value%' is not greater than '%min%'";"'%value%' ist nicht größer als '%min%'"
"'%value%' is not less than '%max%'";"'%value%' ist nicht kleiner als '%max%'"
"'%value%' is not of the format YYYY-MM-DD";"'%value%' hat nicht das Format YYYY-MM-DD"
"'%value%' is not strictly between '%min%' and '%max%'";"'%value%' ist nicht genau zwischen '%min%' und '%max%'"
"'%value%' must contain between 13 and 19 digits";"'%value%'  muss zwischen 13 und 19 Ziffern enthalten"
"'%value%' should be 12 characters";"'%value%' muss aus 12 Zeichen bestehen"
"'%value%' should be 13 characters";"'%value%' muss aus 13 Zeichen bestehen"
"'%value%' should contain only numeric characters";"'%value%' sollte nur Ziffern enthalten"
"'%value%' was not found in the haystac";"'%value%' wurde im Heuhaufen nicht gefunden"
"All files in sum should have a maximum size of '%max%' but '%size%' were detected";"Alle Dateien sollten zusammen nicht größer sein als '%max%', aber eine Größe von '%size%' wurde erkannt"
"All files in sum should have a minimum size of '%min%' but '%size%' were detected";"Alle Dateien sollten zusammen nicht kleiner sein als '%min%', aber eine Größe von '%size%' wurde erkannt"
"Luhn algorithm (mod-10 checksum) failed on '%value%'";"Der Luhn-Algorithmus (mod-10 checksum) schlug beim Wert '%value%' fehl"
"Maximum allowed height for image '%value%' should be '%maxheight%' but '%height%' detected";"Die größte erlaubte Höhe für die Bilddatei '%value%' sollte '%maxheight%' sein, aber eine Höhe von '%height%' wurde erkannt"
"Maximum allowed size for file '%value%' is '%max%' but '%size%' detected";"Die erlaubte Dateigröße für die Datei '%value%' beträgt '%max%', aber eine Größe von '%size%' wurde erkannt"
"Maximum allowed width for image '%value%' should be '%maxwidth%' but '%width%' detected";"Die größte erlaubte Breite für die Bilddatei '%value%' beträgt '%maxwidth%', aber eine Breite von '%width%' wurde erkannt"
"Minimum expected height for image '%value%' should be '%minheight%' but '%height%' detected";"Die kleinste erwartete Höhe für die Bilddatei '%value%' beträgt '%minheight%', aber eine Höhe von '%height%' wurde erkannt"
