# Language File – MOD_BLOG
# SWEDISH
# ----- blog module -----
"Digitalus CMS";"Digitalus CMS"
"Blog";"Blogg"
"blog";"blogg"
"Blog Module";"Blogg Modul"
"Create Blog";"Skapa Blogg"
"Update Blog";"Uppdatera Blogg"
"Add New Post";"Skapa Ny Post"
"Update Post";"Uppdatera Post"
"There are no blogs to view!";"Det finns inga bloggar att visa!"
"The blog module enables you to publish multiple blogs on your site.";"Bloggmodulen ger dig möjlighet att publicera flera bloggar på din webbplats."
"Create a new blog";"Skapa en ny blogg"
"Current Blogs";"Aktuella bloggar"
"You do not have any blogs currently";"Det finns inga bloggar än"
"Blog Posts";"Blogg Poster"
"Blog Post";"Blogg Post"
"This blog does not have any posts";"Den här bloggen har inga poster"
"Update Post";"Uppdatera Post"
"Back to";"Tillbaka till"
"Select the blog";"Välj blogg"
"Written by";"Skrivet av"
"on";"på"
"View All";"Visa alla"
"Blog Name";"Blogg namn"
"Title";"Titel"
# END
