# Language File – MOD_SLIDESHOW
# SPANISH
# ----- slideshow module -----
"Digitalus CMS";""
"Current Image";"Imagen Actual"
"Image Preview (scaled)";"Preview de imagen (en escala)"
"Image";"Imagen"
"Caption";"Título"
"Slideshow";"Diapositivas"
"Slideshow Module";"Modulo de Diapositivas"
"Title";"Título"
"Current Image";"Imagen Actual"
"Image Preview (scaled)";"Preview de imagen (en escala)"
"Image";"Imagen"
"Caption";"Título"
"Slideshow Name";"Nombre de Diapositiva"
"Description";"Descripción"
"Update Slideshow";"Actualizar Diapositivas (conjunto)"
"Add New Slide";"Agregar Nueva Diapositiva"
"Update Slide";"Actualizar Disapositiva"
"Create Slideshow";"Crear una Diapositiva (conjunto)"
"There are no slideshows to view!";"No hay diapositivas (conjunto) para ver"
"Select One";"Seleccione una"
"Current Shows";"Muestra Actual"
"You do not have any slideshows currently";"Actualmente, no tenés diapositivas (conjunto)"
"About";"Sobre"
"The slideshow module enables you to publish slideshows on your site.";"El modulo de diapositivas te permite publicar diapositivas en tu sitio"
"These slideshows consist of slides which each contain a picture, a title, and description. You can sort these slides to display in any order.";"Estas diapositivas son un conjunto donde cada una tiene título, imagen y  descripción, puede alterarse el orden de las mismas."
"Create a new slideshow";"Crear una Diapositiva (conjunto)"
"Select the slideshow";"Elija una diapositiva"
"Slide";"Diapositivas"
"of";"de"
"Slide Options";"Opciones de Diapositiva"
"Reorder Slides";"Reordenar diapositivas"
"To change the order a slide is displayed in click the drag icon next to the item and move the item up or down.";"Para cambiar el ordenar el orden que tienen las diapositivas haga click en el icono y muevelas hacia arriba o hacia abajo"
"Then click Done Reordering Slides to save your changes.";"Entonces haga click en Aceptar en Reordenando diapositivas para salvar los cambios"
"Done Reordering Slides";"Aceptar el Reordenado de Diapositivas"
"Written by";"Escrito por"
"on";"El"
"View All";"Ver todas"
"Update Show";"Actualizar Diapositivas (conjunto)"
"Current Slides";"Diapositivas Actuales"
"This show does not have any slides";"Este conjunto de diapositivas no tienen ninguna diapositiva para mostrar"
# END
