# Language File – BACKEND
# ITALIAN
# languages
"english";"inglese"
"french";"francese"
"german";"tedesco"
"italian";
"polish";"polacco"
"russian";"russo"
"spanish";
"swedish";"svedese"
# admin section -- Auth --
"Login";"Login"
"The username or password you entered was not correct.";"Nome utente o password non corretti"
"Your password has been reset for security and sent to your email address";"La tua password è stata azzerata per sicurezza ed è stata inviata al tuo indirizzo di posta elettronica"
"Sorry, there was an error sending you your updated password. Please contact us for more help.";"Spiacenti, c'è stato un errore nell'invio della nuova password. Si prega di contattarci per ulteriore aiuto"
"Sorry, we could not locate your account. Please contact us to resolve this issue.";"Spiacenti, non riusciamo a trovare il tuo account. Contattaci per risolvere il problema."
"OpenID Login";
"Need Help?";"Hai bisogno d'aiuto?"
"Digitalus CMS gives You the possibilty to use Your existing OpenID to login to the administrator area.";
"If you are having trouble logging in please enter your email address below and we will send you your login credentials.";"Se hai problemi ad eseguire l'accesso inserisci il tuo indirizzo di posta e ti manderemo i tuoi dati d'accesso"
"Reset Password";"Azzera password"
"Administrator Login";"Login amministratore"
"Please enter your username (this is your email address) and password to get started.";"Si prega di inserire il nome utente (è il vostro indirizzo e-mail)"
"Standard Login";
"Return to the standard login using Your username and password.";
"Administrator OpenID Login";
"Please enter your OpenID. You will be redirected to Your OpenId provider to authorize.";
# admin section -- Design --
"Design";"Design"
"Open";"Apri"
"Add to my bookmarks";"Aggiungi ai segnalibri"
"Delete";"Elimina"
"Design Options";"Opzioni di design"
"Create a new design";"Crea un nuovo design"
"Design Name";"Nome del design"
"Design Notes";"Note del design"
"Create Design";"Crea design"
"Current Designs";"Design correnti"
"Tools";"Strumenti"
"Preview Design";"Anteprima design"
"Who Uses This?";"Chi lo usa?"
"These are the pages that use this design:";"Queste sono le pagine che utilizzano il design:"
"No pages use this design currently.";"Nessuna pagina utilizza il design attualmente"
"Update Design";"Aggiorna design"
"Design details";"Dettagli design"
"This is the default site design";"Questo è il design di default del sito"
"Layout";"Layout"
"Skin";"Skin"
# admin section -- Error --
"Sorry, you are not authorized to edit this resource!";"Spiacenti, non sei autorizzato a modificare questa risorsa!"
# admin section -- Index --
"Home";"Home"
"Your bookmark was saved successfully.";"Il tuo segnalibro è stato salvato con successo."
"My Content";"Il mio contenuto"
"The following pages are the pages that you have recently created.";"Le seguenti pagine sono quelle che hai creato recentemente."
"These are the modules that you are working with.";"Questi sono i moduli con i quali stai lavorando."
"These pages have not been published yet.";
"My Dashboard";"La mia bacheca"
"My Account";"Il mio account"
"First Name";"Nome"
"Last Name";"Cognome"
"Email";"Posta elettronica"
"Update Password?";"Aggiorna password?"
"Password";"Password"
"Confirm";"Conferma"
"Update My Account";"Aggiorna il mio account"
"My Bookmarks";"I miei segnalibri"
"You do not have any bookmarks.";"Non hai nessun segnalibro."
"My Writeboard";"Il mio taccuino"
"The writeboard is a personal spot for you to keep notes about your site.";"Il taccuino è un'area personale dove appuntare note su questo sito."
"Save My Writeboard";"Salva il mio taccuino"
"Digitalus CMS is a community supported open source project. To learn more about the project check out";"Digitalus CMS è un progetto open source supportato dalla comunità. Per ulteriori informazioni visitate"
"Digitalus Site";"Il sito di Digitalus"
"Wiki";"Wiki"
"Forum";"Forum"
# admin section -- Media --
"Media";"Media"
"Open Folder";"Apri cartella"
"Options";"Opzioni"
"Media Manager";"Gestione media"
"Create New Folder";"Crea nuova cartella"
"Browse Folder";"Sfoglia cartelle"
"Upload Media";"Carica media"
"Create Subfolder";"Crea sottocartella"
