# Language File – MOD_CONTACT
# SWEDISH
# ----- contact module -----
"Digitalus CMS";"Digitalus CMS"
"Contact Form";"Kontakt Formulär"
# admin section – Contact --
"Contact";"Kontakt"
"Module";
"Options";
"The contact module enables you to publish contact forms on your site.";"Kontaktmodulen kan du publicera ett kontaktformulär på din webbplats."
"You can set the following options on the contact form:";"Du kan ställa in följande alternativ om kontaktformulär:"
"Recipient";"Mottagare"
"who you want to receive the messages";"vem du vill ska ta emot meddelandet"
"Recipient's email";"Mottagarens e-post"
"the recipient's email address";"mottagarens e-post adress"
"Your Name";"Ditt Namn"
"Your name is required!";"Ditt namn är obligatoriskt!"
"Your Email";"Din E-post"
"Invalid email address!";"Din e-post är inte korrekt!"
"Subject";"Ämne"
"The subject is required!";"Ämne är obligatoriskt!"
"Message";
"The message is required!";"Meddelande är obligatoriskt!"
"Please verify you're a human";"Kontrollera att du är mänsklig"
"Send Message";"Skicka Meddelande"
"Enter the recipients email:";"Ange mottagarens e-post:"
"Thanks for contacting us!";"Tack för att du kontaktar oss!"
"Your message was successfully sent and we will reply promptly.";"Ditt meddelande har skickats och vi kommer att besvara det snabbast möjligt."
"New message from";"Nytt meddelande formulär"
"Sent on";"Skicka på"
# END
