# Language File – BACKEND
# RUSSIAN
"Digitalus CMS";"Digitalus CMS"
# languages
"english";"английский"
"french";"французский"
"german";"немецкий"
"italian";"итальянский"
"polish";"польский"
"russian";"русский"
"spanish";"испанский"
"swedish";"шведский"
# admin section -- Auth --
"Login";"На главную"
"The username or password you entered was not correct.";"Неправильное имя пользователя или пароль"
"Your password has been reset for security and sent to your email address";"В целях безопасности Ваш пароль был заменён и выслан на ваш e-mail"
"Sorry, there was an error sending you your updated password. Please contact us for more help.";
"Sorry, we could not locate your account. Please contact us to resolve this issue.";"Не удалось найти ваш бюджет. Пожалуйста, свяжитесь с нами по этому вопросу"
"OpenID Login";"Логин OpenID"
"Need Help?";"Нужна помощь?"
"Digitalus CMS gives You the possibilty to use Your existing OpenID to login to the administrator area.";"Digitalus CMS позволяет войти в административную зону по существующему OpenID"
"If you are having trouble logging in please enter your email address below and we will send you your login credentials.";"Если у вас проблемы с входом, пожалуйста, введите ваш e-mail ниже и мы вам вышлем ваши данные для логина."
"Reset Password";"Переустановить пароль"
"Administrator Login";"Логин администратора"
"Please enter your username (this is your email address) and password to get started.";"Пожалуйста введите свое имя пользователя (это ваш e-mail) и пароль для того чтоб начать"
"Standard Login";"Стандартное имя пользователя"
"Return to the standard login using Your username and password.";"Вернуться к стандартной форме входа, использующей имя пользователя и пароль"
"Administrator OpenID Login";"OpenID бюджет администратора"
"Please enter your OpenID. You will be redirected to Your OpenId provider to authorize.";"Пожалуйста, введите Ваш OpenID. Вы будете перенаправлены на Вашего OpenID провайдера для авторизации"
# admin section -- Design --
"Design";"Дизайн"
"Open";"Открыть"
"Add to my bookmarks";"Добавить в закладки"
"Delete";"Удалить"
"Design Options";"Опции дизайна"
"Create a new design";"Создать новый дизайн"
"Design Name";"Название дизайна"
"Design Notes";"Заметки дизайна"
"Create Design";"Создать дизайн"
"Current Designs";"Текущие дизайны"
"Tools";"Инструменты"
"Preview Design";"Кто использует?"
"Who Uses This?";"Кто использует?"
"These are the pages that use this design:";"Есть страницы которые используют этот дизайн:"
"No pages use this design currently.";"Ни одна из страниц не использует этот дизайн в данный момент"
"Update Design";"Обновить дизайн"
"Design details";"Детали дизайна"
"This is the default site design";"Это дизайн сайта по умолчанию"
"Layout";"Layout"
"Skin";"Шкурка"
# admin section -- Error --
"Sorry, you are not authorized to edit this resource!";"У Вас нет прав для редактирования этого ресурса"
# admin section -- Index --
"Home";"На главную"
"Your bookmark was saved successfully.";"Ваша закладка успешно сохранена"
"My Content";"Моё содержимое"
"The following pages are the pages that you have recently created.";"Следующие страницы – те, которые вы недавно создали."
"These are the modules that you are working with.";"[Есть] модули с которыми Вы работаете"
"These pages have not been published yet.";"Эти страницы ещё не были опубликованы"
"My Dashboard";"Мое рабочее место"
"My Account";"Моя учетная запись"
"First Name";"Имя"
"Last Name";"Фамилия"
"Email";"Email"
"Update Password?";"Обновить пароль?"
"Password";"Пароль"
"Confirm";"Подтвердить"
"Update My Account";"Обновить учетную запись"
"My Bookmarks";"Мои закладки"
"You do not have any bookmarks.";"У вас нет закладок"
"My Writeboard";"Моя доска"
"The writeboard is a personal spot for you to keep notes about your site.";"Доска – это личное место, где можно хранить заметки о вашем сайте"
"Save My Writeboard";"Сохранить мою доску"
"Digitalus CMS is a community supported open source project. To learn more about the project check out";"Digitalus CMS – открытый поддерживаемый сообществом проект. Чтобы узнать больше о проекте, посетите"
"Digitalus Site";"Сайт Digitalus"
"Wiki";"Вики"
"Forum";"Форум"
# admin section -- Media --
"Media";"Медиа"
"Open Folder";"Открыть папку"
"Options";"Опции"
"Media Manager";"Менеджер медиа"
"Create New Folder";"Создать новую папку"
"Browse Folder";"Браузер файлов"
"Upload Media";"Загрузить медиа"
"Create Subfolder";"Создать подпапку"
"Rename Folder";"Переименовать папку"
"Current Folder";"Текущая папка"
"Media Root";"Корень медиа"
"Current folder contents";"Содержимое текущей папки"
"Upload Files";"Загрузить файлы"
"Rename folder";"Переименовать папку"
"Folder Name";"Имя папки"
"Create Folder";"Создать папку"
"Subfolders";"Подпапки"
"Full path";"Полный путь"
"Files";"Файлы"
"New Name";"Новое имя"
"Select the files to upload";"Выберите файлы для загрузки"
"You do not have any media files on the server";"У вас нет никаких медиа на сервере"
# admin section -- Module --
"Modules";"Модули"
"Download";"Загрузка"
"CMS Modules";"Модули CMS"
"Digitalus CMS uses a system of modules to add custom functionality to your site.";"Digitalus CMS использует систему модулей для добавления кастомизированной функциональности для вашего сайта."
"Select the module page";"Выбрать страницу модуля"
"My Modules";"Мои модули:"
# admin section -- Navigation --
"Navigation";"Навигация"
"Open Menu";"Открыть меню"
"Current Menu";"Текущее меню"
"Update Menu";"Обновить меню"
"click to toggle visibility";"Щёлкните, чтобы переключить видимость"
"open page";
"Save Changes";"Сохранить"
"Main Menu";"Главное меню"
# admin section -- Page --
"Pages";"Страницы"
"Sorry, there was an error adding your page";"Извините, произошла ошибка при добавлении страницы"
"Sorry, there was an error opening your page";"Извините, произошла ошибка при открытии страницы"
"Page";"Страница"
"Page Title";"Название страницы"
"Filename";"Имя файла"
"Meta Description";"Meta Description"
"Meta Keywords";"Meta Keywords"
"Search Tags";"Search Tags"
"Update Meta Data";"Обновить метаданные"
"Publish or Archive Page";"Опубликовать или отправить в архив страницу"
"Publish or Archive";"Опубликовать или отправить в архив"
"Step 3: Enter the name for your page";"Шаг3: Введите имя вашей страницы"
"Page Name";"Имя страницы"
"Create Page";"Создать страницу"
"Page Options";"Опции страницы"
"Content Sections";"Секции содержимого"
"Page Head and Meta Data";"Заголовок страницы и мета-данные"
"Properties";"Свойства"
"Attachments";"Приложения"
"Related Content";"Родственное содержимое"
"Content Template";"Шаблон содержимого"
"Move Page";"Переместить страницу"
"Publish / Archive";"Опубликовать / Отправить в архив"
"Page Versions";"Версии страницы"
"Update Page";"Обновить страницу"
"main items";
"Edit Meta Data";"Редактировать мета-данные"
"Edit Page Properties";"Редактировать свойства страницы"
"Publish / Archive Page";"Опубликовать / Отправить в архив страницу"
"Content";"Содержимое"
"Current design";"Текущий дизайн"
"Open design";"Открыть дизайн"
"The design is not yet set for this page.";"Дизайн для этой страницы еще не установлен"
"Other designs";"Другие дизайны"
"Make current";"Сделать текущей"
