# Language File – BACKEND
# FRENCH
# languages
"english";"Anglais"
"french";"Français"
"german";"Allemand"
"polish";"Polonais"
"russian";"Russe"
"swedish";"Suédois"
"Login";"Connexion"
"You must enter a username.";"Vous devez entrer un nom d'utilisateur."
"You must enter a password.";"Vous devez entrer un mot de passe."
"The username or password you entered was not correct.";"Le nom d'utilisateur ou le mot de passe que vous avez entré n'est pas correct."
"Your password has been reset for security and sent to your email address";"Pour des raisons de sécurité, votre mot de passe a été réinitialisé et envoyé à votre adresse email"
"Sorry, there was an error sending you your updated password.  Please contact us for more help.";"Désolé, une erreur est survenue lors de l'envoi de votre nouveau mot de passe. Veuillez nous contacter pour plus de renseignements."
"Sorry, we could not locate your account. Please contact us to resolve this issue.";"Désolé, nous ne trouvons pas votre compte, Veuillez nous contacter pour résoudre ce problème."
"If you are having trouble logging in please enter your email address below and we will send you your login credentials.";"Si vous avez des problèmes pour vous connecter, veuillez entrer votre adresse email plus bas et nous vous enverrons votre identifiant et mot de passe."
"Reset Password";"Réinitialiser le mot de passe"
"Administrator Login";"Connexion de l'administrateur"
"Please enter your username (this is your email address) and password to get started.";"Veuillez entrer votre nom d'utilisateur (c'est votre adresse email) et votre mot de passe pour commencer."
"Username";"Nom d'utilisateur"
"Password";"Mot de passe"
"Log In";"Connexion"
"Open";"Ouvrir"
"Add to my bookmarks";"Ajouter à mes marque-pages"
"Delete";"Supprimer"
"Design Options";"Options de Design"
"Create a new design";"Créer un nouveau design"
"Design Name";"Nom du design"
"Design Notes";"Notes sur le design"
"Create Design";"Créer un design"
"Current Designs";"Designs en cours"
"Tools";"Outils"
"Preview Design";"Prévisualiser le design"
"These are the pages that use this design:";"Voici les pages qui utilisent ce design:"
"No pages use this design currently.";"Aucune page n'utilise ce design pour l'instant."
"Update Design";"Mise à jour du design"
"Design details";"Détail du design"
"Home";"Accueil"
"Your bookmark was saved successfully.";"Votre marque-page a été sauvegardé avec succès."
"The following pages are the pages that you have recently created.";"Les pages suivantes sont les pages que vous avez récemment créées."
"These are the modules that you are working with.";"Voici les modules avec lesquels vous êtes en train de travailler."
"My Dashboard";"Mon tableau de bord"
"My Account";"Mon compte"
"First Name";"Prénom"
"Last Name";"Nom"
"Confirm";"Confirmer"
"Update My Account";"Mettre à jour mon compte"
"My Bookmarks";"Mes marque-pages"
"You do not have any bookmarks.";"Vous n'avez aucun marque-page."
"My Writeboard";"Mon tableau de notes"
"The writeboard is a personal spot for you to keep notes about your site.";"Le tableau de notes est un endroit personnel pour vous permettre de garder des notes à propos de votre site."
"Save My Writeboard";"Sauvegarder mon tableau de notes"
"Digitalus CMS is a community supported open source project. To learn more about the project check out";"Digitalus CMS est un projet open source communautaire. Pour en savoir plus sur ce projet, vous pouvez aller voir"
"Digitalus Site";"Site Digitalus"
"Media";"Média"
"Open Folder";"Ouvrir le dossier"
"Media Manager";"Gestionnaire de média"
"Create New Folder";"Créer un nouveau dossier"
"Browse Folder";"Parcourir le dossier"
"Upload Media";"Uploader le média"
"Create Subfolder";"Créer un sous-dossier"
"Rename Folder";"Renommer le dossier"
"Current Folder";"Dossier en cours"
"Media Root";"Racine de média"
"Current folder contents";"Contenu du dossier en cours"
"Upload Files";"Uploader les fichiers"
"Rename folder";"Renommer le dossier"
"Folder Name";"Nom du dossier"
"Create Folder";"Créer un dossier"
"Subfolders";"Sous-dossier"
"Full path";"Chemin complet"
"Files";"Fichiers"
"New Name";"Nouveau nom"
"Select the files to upload";"Sélectionner les fichiers à uploader"
"You do not have any media files on the server";"Vous n'avez aucun fichier de média sur le serveur"
"Download";"Télécharger"
"CMS Modules";"Modules CMS"
"Digitalus CMS uses a system of modules to add custom functionality to your site.";"Digitalus CMS utilise un système de modules pour ajouter des fonctionnalitées personnalisées à votre site."
"Select the module page";"Sélectionner un module de page"
"My Modules";"Mes Modules"
"Open Menu";"Ouvrir le menu"
"Current Menu";"Menu en cours"
"Update Menu";"Mise à jour du menu"
"Save Changes";"Sauvegarder les changements"
"Main Menu";"Menu principal"
"Sorry, there was an error adding your page";"Désolé, il y a eu une erreur lors de l'ajout de votre page"
"Sorry, there was an error opening your page";"Désolé, il y a eu une erreur lors de l'ouverture de votre page"
"Page Title";"Titre de la page"
"Filename";"Nom du fichier"
"Meta Description";"Description"
"Meta Keywords";"Mots clés"
"Search Tags";"Tags servant à la recherche"
"Update Meta Data";"Mettre à jour les méta données"
"Step 3: Enter the name for your page";"Etape 3: Entrez le nom de votre page"
"Page Name";"Nom de la page"
"Create Page";"Créer une page"
"Page Options";"Options de Page"
"Content Sections";"Sections de contenu"
"Page Head and Meta Data";"Entête de page et méta données"
"Properties";"Propriétés"
"Attachments";"Pièces jointes"
"Related Content";"Contenu associé"
"Content Template";"Modèle de contenu"
"Move Page";"Déplacer la page"
