# Language File – BACKEND
# GERMAN
# languages
"english";"Englisch"
"french";"Französisch"
"german";"Deutsch"
"polish";"Polnisch"
"russian";"Russisch"
"swedish";"Schwedisch"
"Login";"Anmelden"
"You must enter a username.";"Sie müssen einen Benutzernamen eingeben."
"You must enter a password.";"Sie müssen ein Passwort eingeben."
"The username or password you entered was not correct.";"Der Benutzername oder das Passwort ist nicht richtig."
"Your password has been reset for security and sent to your email address";"Das Passwort wurde zurückgesetzt und an Ihre Email-Adresse gesendet"
"Sorry, there was an error sending you your updated password.  Please contact us for more help.";"Beim Versenden des aktualisierten Passworts ist ein Fehler aufgetreten. Bitte Kontaktieren Sie uns für weitere Hilfe."
"Sorry, we could not locate your account. Please contact us to resolve this issue.";"Wir konnten Ihr Konto nicht finden. Bitte kontaktieren Sie uns, um dieses Problem zu lösen."
"If you are having trouble logging in please enter your email address below and we will send you your login credentials.";"Wenn Sie Probleme beim Anmelden haben, geben Sie bitte Ihre Email-Adresse unten ein und Sie bekommen ein neues Passwort zugeschickt."
"Reset Password";"Passwort zurücksetzen"
"Administrator Login";"Administrator anmelden"
"Please enter your username (this is your email address) and password to get started.";"Bitte gib deinen Benutzernamen (deine Email-Adresse) und dein Passwort ein um zu beginnen."
"Username";"Benutzername"
"Password";"Passwort"
"Log In";"Anmelden"
"Open";"Öffnen"
"Add to my bookmarks";"Zu Favoriten hinzufügen"
"Delete";"Löschen"
"Design Options";"Design Optionen"
"Create a new design";"Erzeuge neues Design"
"Design Notes";"Design Notizen"
"Create Design";"Design erstellen"
"Current Designs";"Aktuelles Design"
"Tools";"Werkzeuge"
"Preview Design";"Design Vorschau"
"These are the pages that use this design:";"Diese Seiten verwenden dieses Design:"
"No pages use this design currently.";"Keine Seiten verwenden momentan dieses Design."
"Update Design";"Design aktualisieren"
"Design details";"Design Details"
"Skin";"Oberfläche"
"Sorry, you are not authorized to edit this resource!";"Sie dürfen diese Ressource nicht verändern"
"Home";"Start"
"Your bookmark was saved successfully.";"Das Lesezeichen wurde erfolgreich gespeichert."
"My Content";"Meine Inhalte"
"The following pages are the pages that you have recently created.";"Die folgenden Seiten wurden kürzlich von Ihnen erstellt."
"These are the modules that you are working with.";"Dies sind die Module, die Sie nutzen."
"My Dashboard";"Meine Armatur"
"My Account";"Mein Konto"
"First Name";"Vorname"
"Last Name";"Nachname"
