# Language File – BACKEND
# POLISH
# languages
"english";"Angielski"
"french";"Francuski"
"german";"Niemiecki"
"polish";"Polski"
"Login";"Zaloguj"
"If you are having trouble logging in please enter your email address below and we will send you your login credentials.";"Jeśli masz problemy z zalogowaniem się prosimy o wprowadzenie twójego adresu email. Wyślemy nań dane rejestracyjne."
"Reset Password";"Reset hasła"
"Administrator Login";"Logowanie Administratora"
"Please enter your username (this is your email address) and password to get started.";"Wprowadź nazwę użytkownika (twój adres email) oraz hasło aby rozpocząć pracę."
"Username";"Nazwa użytkownika"
"Password";"Hasło"
"Log In";"Zaloguj"
"Design";"Wygląd"
"Add to my bookmarks";"Dodaj do zakładek"
"Design Options";"Opcje wyglądu"
"Create a new design";"Stwórz nowy wygląd"
"Design Name";"Nazwa wyglądu"
"Design Notes";"Notatki wyglądu"
"Create Design";"Stwóz wygląd"
"Current Designs";"Obecne wyglądy"
"These are the pages that use this design:";"To są strony które używają tego wyglądu:"
"Update Design";"Uaktualnij wygląd"
"Design details";"Szczegóły wyglądu"
"Home";"Start"
"The following pages are the pages that you have recently created.";"Ostatnio zostały stworzone następujące strony."
"My Dashboard";"Moja tablica ogłoszeń"
"My Account";"Moje konto"
"First Name";"Imię"
"Last Name";"Nazwisko"
"Confirm";"Potwierdź"
"Update My Account";"Uaktualnienie konta"
"My Bookmarks";"Moje zakładki"
"You do not have any bookmarks.";"Nie masz żadnych zakładek."
"My Writeboard";"Mój notatnik"
"The writeboard is a personal spot for you to keep notes about your site.";"Notatnik jest miejscem, gdzie możesz przetrzymywać prywatne notatki na temat strony."
"Save My Writeboard";"Zapisz notatnik"
"Digitalus CMS is a community supported open source project. To learn more about the project check out";"Digitalus jest systemem CMS wspieranym przez środowisko open source. Aby dowiedzieć się więcej sprawdź"
"Digitalus Site";"Strona Digitalusa"
"Open Folder";"Otwórz katalog"
"Options";"Opcje"
"Media Manager";"Manager mediów"
"Create New Folder";"Stwórz nowy katalog"
"Browse Folder";"Przeglądaj katalog"
"Upload Media";"Załaduj media"
"Create Subfolder";"Stwórz podkatalog"
"Rename Folder";"Zmień nazwę katalogu"
"Current Folder";"Aktualny katalog"
"Media Root";"Korzeń mediów"
"Current folder contents";"Zawartość aktualnego katalogu"
"Upload Files";"Załaduj pliki"
"Rename folder";"Zmień nazwę katalogu"
"Folder Name";"Nazwa katalogu"
"Create Folder";"Stwórz katalog"
"Subfolders";"Podkatalogi"
"Full path";"Pełna ścieżka"
"Files";"Pliki"
"New Name";"Nowa nazwa"
"Select the files to upload";"Wybierz pliki do załadowania"
"You do not have any media files on the server";"Nie masz żadnych mediów na serwerze"
"Modules";"Moduły"
"CMS Modules";"Moduły CMS"
"Digitalus CMS uses a system of modules to add custom functionality to your site.";"Digitalus CMS używa systemu modułów aby dodać dodatkowe funcjonalności do twojej strony."
"Select the module page";"Wybierz stronę modułu"
"My Modules";"Moje moduły"
"Navigation";"Nawigacja"
"Open Menu";"Otwórz menu"
"Update Menu";"Uaktualnij menu"
"Save Changes";"Zapisz zmiany"
"Main Menu";"Menu główne"
"Pages";"Strony"
"Page";"Strona"
"Page Title";"Tytuł storny"
"Filename";"Nazwa pliku"
"Meta Description";"Opis danych meta"
"Meta Keywords";"Słowa kluczowe"
"Search Tags";"Tagi wyszukiwania"
"Step 3: Enter the name for your page";"Krok 3: Wprawadź nazwę strony"
"Page Name";"Nazwa strony"
"Create Page";"Stwórz stronę"
"Page Options";"Opcje strony"
"Page Head and Meta Data";"Nagłówek storny i dane meta"
"Properties";"Właściwości"
"Move Page";"Przenieś stronę"
"Page Versions";"Wersje strony"
"Update Page";"Uaktualnij stronę"
"Edit Meta Data";"Edytuj dane meta"
"Edit Page Properties";"Edytuj właściwości stony"
"Current design";"Obecny wygląd"
"Open design";"Otwórz wygląd."
"The design is not yet set for this page.";"Wygląd nie jest jeszcze ustawiony dla tej strony"
"Other designs";"Inne wyglądy"
"Make current";"Zastosuj jako aktualny"
"Click the new parent page for this page to move it.";"Kliknij nową stronę nadrzędną dla tej strony aby ją przenieść"
"Property";"Własność"
"Value";"Wartość"
"Remove";"Usuń"
"Add a new property";"Dodaj nową właściwość"
"Update properties";"Uaktualnij właściwości"
"My Pages";"Moje strony"
"Create a Page";"Stwórz stronę"
"To create a new page...";"Aby stworzyć nową stronę..."
"Step 1: Select the parent section";"Krok 1: Wybierz sekcję nadrzędną"
"Parent Page";"Strona nadrzędna"
"Next >>";"Dalej >>"
"Current Version";"Aktualna wercja"
"Available Versions";"Dostępne wercje"
"Default";"Domyślny"
"Select a type";"Wybierz typ"
"Site Root";"Korzeń strony"
"Site Settings";"Ustawienia strony"
"Site Console";"Konsola strony"
"About the Console";"O konsoli"
"The site console enables you to interact directly with the CMS core.";"Ta konsola pozwala na bezpośrednie zarządzanie kodem CMS."
"It is for experienced administrators only.";"Jest przeznaczona wyłącznie dla doświadczonych administratorów."
"Info";"Informacje"
"General";"Ogólne"
"Content";"Zawartość"
"Internationalization";"Internacjonalizajca"
"Update Site Settings";"Uaktualnij ustawienia strony"
"General settings";"Ogólne ustawienia"
"Site name";"Nazwa strony"
"Title separator";"Separator tytyłu"
"Site is online";"Strona jest w trybie on-line"
"Update General Site Settings";"Uaktualnij ogólne ustawienia strony"
"Managing Content";"Zarządzanie treścią"
"Home Page";"Strona domowa"
"404 Page";"Strona 404"
"Menu links";"Linki menu"
"Automatically add menu links";"Automatycznie dodaj linki menu."
"Update Content Settings";"Uaktualnij ustawienia treści"
"Default charset";"Domyślny charset"
"Update Page Meta Data";"Uaktualnij dane meta strony"
"Default language";"Domyślny język"
"Update Internationalization Settings";"Uaktalnij ustawienia internacjonalizacji"
"Mail Settings";"Ustawienia maili"
"Default email address";"Domyślny adres email"
"Default sender";"Domyślny nadawca"
"Use SMTP transport";"Używaj transportu SMTP"
"SMTP host";"Host SMTP"
"SMTP username";"Nazwa użytkownika SMTP"
"SMTP password";"Hasło SMTP"
"Update Mail Settings";"Uaktualnij ustaweiania maili"
"Send test message";"Wyślij wiadomość testową"
"Google Integration";"Intergracja z Google"
"Verification code";"Kod weryfikacyjny (Verification Code)"
"Tracking code";"Kod śledzenia (Tracking code)"
"Update Google Settings";"Uaktualnij ustawienia Google"
"The site sections is where you manage your site.";"W tej sekcji zarządzasz stroną"
"Create new user";"Stwórz nowego użytkownika"
"Admin Users";"Administratorzy"
"Open console";"Otwórz konsolę"
"Open User";"Otwórz użytkownika"
"User";"Użytkownik"
"Create New User";"Stwórz nowego użytkownika"
"General Information";"Informacje ogólne"
"User Options";"Opcje użytkownika"
"Account";"Konto"
"Credentials";"Dane użytkownika"
"Permissions";"Uprawnienia"
"If you have another user who already has the same permissions as this user you can copy that user's role.";"Jeśli jest już użytkownik posiadający takie uprawnienia jest ten użytkownik, możesz skopiować rolę tego użytkownika."
"Update User";"Uaktualnij użytkownika"
"Email Address";"Adres email"
"Admin Role";"Rola administracyjna"
"User Permissions";"Uprawnienia użytkownika"
"Update Permissions";"Uaktualnij uprawnienia"
"Site Administrator";"Administrator strony"
"Current User";"Aktualny użytkownik"
"Role";"Rola"
"Log Out";"Wyloguj"
"Select One";"Wybierz jeden"
"Select User";"Wybierz użytkownika"
"Select a module";"Wybierz moduł"
"You are reading this page in";"Czytasz tę stronę in języku"
"This page is also translated into";"Ta strona jest również przetłumaczona na język"
"Digitalus CMS";"Digitalus CMS"
"Unable to delete item";"das Element ist leer!"
"You are here";"Jesteś tutaj:"
