# ----- layout -----
Digitalus CMS;Digitalus CMS
Current User;Aktualny użytkownik
Role;Rola
Log Out;Wyloguj
Log In ;Zalogujn
Login ;Zalogujn
Home;Start
Site;Strona
Pages;Strony
Navigation;Nawigacja
Design;Wygląd
Modules;Moduły
Public Site;Strona Publiczna

value;wartość

# ----- toolbar -----
You are here:;Jesteś tutaj:
Add to my bookmarks;Dodaj do Ulubionych
Your bookmark was saved successfully.;
Delete;Entfernen

# ----- admin home -----
Digitalus CMS is a community supported open source project. To learn more about the project check out;
Digitalus Site;
Wiki;
Forum;
Training and Support;
If you need any help building or managing your site check out our support options.;
My Dashboard;
My Account;
My Bookmarks;
You do not have any bookmarks.;
My Writeboard;
The writeboard is a personal spot for you to keep notes about your site.;
You have no notes to view;
Save My Writeboard;
My Content;

# ----- admin_auth -----
Administrator Login;Logowanie Administratora
Admin User Login;Logowanie Administratora
Forgot Password;
Reset Password;Reset hasła
Admin Login;Logowanie Administratora
Please enter your username (this is your email address) and password to get started.;Wprowadź nazwę użytkownika (twój adres email) oraz hasło aby rozpocząć pracę.
Username;Nazwa użytkownika
Password;Hasło
Confirm Password;
Log In;Zaloguj
If you are having trouble logging in please enter your email address below and we will send you your login credentials.;Jeśli masz problemy z zalogowaniem się prosimy o wprowadzenie twójego adresu email. Wyślemy nań dane rejestracyjne.
Send Reminder;Wyślij przypomnienie

# ----- admin_user -----
Update My Account;Uaktualnienie konta
Update Account;
Account Information
First Name;Imię
Last Name;Nazwisko
Email;Email
Password;Hasło
Confirm;Potwierdź
Update password?;Uaktualnić hasło?
Super Administrator;
Site Administrator;
User Options;
Account;
User Permissions;
Update Permissions;
Copy User Permissions;
Select User;

# ----- admin_site -----
The site sections is where you manage your site.;W tej sekcji zarządzasz stroną
Admin Users;Administratorzy
Create new user;Stwórz nowego użytkownika
Open User;
Site Reports;Raporty strony
Traffic report;Raporty ruchu
Admin access report;Raporty działań administracyjnych
Site Console;Konsola strony
The site console enables you to interact directly with the CMS core.  It is for experienced administrators only.;Ta konsola pozwala na bezpośrednie zarządzanie kodem CMS. Jest przeznaczona wyłącznie dla doświadczonych administratorów.
Open console;Otwórz konsolę
Site Settings;Ustawienia strony
General settings;Ogólne ustawienia
Update Site Settings;
General Information;
Site name;Nazwa strony
Title separator;
Status:;Status:
Site is online;Strona jest w trybie on-line
Content;
Managing Content;Zarządzanie treścią
Menu links;Linki menu
Automatically add menu links;Automatycznie dodaj linki menu.
Update Page Meta Data;
Internationalization;Internacjonalizajca
Default locale;Domyślne dane lokalne
Default language;Domyślny język
Default charset;Domyślny charset
english;
french;
german;
polish;
Date format;Format dany
Currency format;Waluty
Mail Settings;Ustawienia maili
Default email address;Domyślny adres email
Default sender;Domyślny nadawca
Transport;Transport
Use SMTP transport;Używaj transportu SMTP
SMTP host;Host SMTP
SMTP username;Nazwa użytkownika SMTP
SMTP password;Hasło SMTP
Send test message;
Google Integration;Intergracja z Google
Tracking code;Kod śledzenia (Tracking code)
Verification code;Kod weryfikacyjny (Verification Code)
Options;Opcje
General settings;Ustawienia ogólne
Content settings;Ustawienia treści
Internationalization;Internacjonalizacja
Mail settings;Ustawienia maili
Google integration;Integracja z Google
Update General Site Settings;Uaktualnij ogólne ustawienia strony
Update Content Settings;Uaktualnij ustawienia treści
Update Internationalization Settings;Uaktalnij ustawienia internacjonalizacji
Update Mail Settings;Uaktualnij ustaweiania maili
Update Google Settings;Uaktualnij ustawienia Google
System Console;Konsola systemu
About the Console;O konsoli
Info;Informacje
Run;Uruchom
The console...;Kosola ...

# ----- admin_user -----
Update User;Uaktualnij użytkownika
Create User;Stwórz użytkownika
Options;Opcje
User;Użytkownik
First Name;Imię
Last Name;Nazwisko
Email Address;Adres email
Admin Role;Rola administracyjna
Create User;Stwórz użytkownika
Options;Opcje
General;Ogólne
Credentials;Dane użytkownika
Permissions;Uprawnienia
Copy User;Kopiuj użytkownika
If you have another user who already has the same permissions as this user you can copy that user's role.;Jeśli jest już użytkownik posiadający takie uprawnienia jest ten użytkownik, możesz skopiować rolę tego użytkownika.
Select a User;Wybierz użytkownika
Copy Users Permissions;Skopiuj uprawnienia użytkownika

# ----- admin_report -----
Report: Admin Access Log;Raport: Logowania administratora
Admin Access Log;Log logwań administratora
More Reports;Więcej raportów
Date;Data
User;Użytkownik
Page;Strona
Report: Site traffic;Raport: Ruch na stronie
Traffic Report;Report ruchu na stronie
Weekly Summary;Podsumowanie tygodniowe
Day;Dzień
Traffic History;Historia ruchu
Week;Tydzień
Hits;Trafienia
More Reports;Więcej raportów
Admin access log;Log logowań administratora
Traffic report;Raport ruchu na stronie
Admin access log;Log logwań administratora

# ----- admin_page -----
Create a Page;Stwórz stronę
Create Page;Stwórz stronę
My Pages;Moje strony
Website;Strona
Note: The filenames are displayed as: (menu label/page title);Uwaga: Nazwy plików są wyświetlane jako (etykieta menu/nazwa strony)
