# Language File – BACKEND
# RUSSIAN
"Login";"На главную"
"If you are having trouble logging in please enter your email address below and we will send you your login credentials.";"Если у вас проблемы с входом, пожалуйста, введите ваш e-mail ниже и мы вам вышлем ваши данные для логина."
"Reset Password";"Переустановить пароль"
"Please enter your username (this is your email address) and password to get started.";"Пожалуйста введите свое имя пользователя (это ваш e-mail) и пароль для того чтоб начать"
"Username";"Имя пользователя"
"Password";"Пароль"
"Log In";"Войти"
"Design";"Дизайн"
"Add to my bookmarks";"Добавить в закладки"
"Design Options";"Опции дизайна"
"Create a new design";"Создать новый дизайн"
"Design Name";"Название дизайна"
"Design Notes";"Заметки дизайна"
"Create Design";"Создать дизайн"
"Current Designs";"Текущие дизайны"
"These are the pages that use this design:";"Есть страницы которые используют этот дизайн:"
"Update Design";"Обновить дизайн"
"Design details";"Детали дизайна"
"Home";"На главную"
"The following pages are the pages that you have recently created.";"Следующие страницы – те, которые вы недавно создали."
"My Dashboard";"Мое рабочее место"
"My Account";"Моя учетная запись"
"First Name";"Имя"
"Last Name";"Фамилия"
"Confirm";"Подтвердить"
"Update My Account";"Обновить учетную запись"
"My Bookmarks";"Мои закладки"
"You do not have any bookmarks.";"У вас нет закладок"
"My Writeboard";"Моя доска"
"The writeboard is a personal spot for you to keep notes about your site.";"Доска – это личное место, где можно хранить заметки о вашем сайте"
"Save My Writeboard";"Сохранить мою доску"
"Digitalus CMS is a community supported open source project. To learn more about the project check out";"Digitalus CMS – открытый поддерживаемый сообществом проект. Чтобы узнать больше о проекте, посетите"
"Digitalus Site";"Сайт Digitalus"
"Wiki";"Вики"
"Forum";"Форум"
"Media";"Медиа"
"Open Folder";"Открыть папку"
"Options";"Опции"
"Media Manager";"Менеджер медиа"
"Create New Folder";"Создать новую папку"
"Browse Folder";"Браузер файлов"
"Upload Media";"Загрузить медиа"
"Create Subfolder";"Создать подпапку"
"Rename Folder";"Переименовать папку"
"Current Folder";"Текущая папка"
"Current folder contents";"Содержимое текущей папки"
"Upload Files";"Загрузить файлы"
"Rename folder";"Переименовать папку"
"Folder Name";"Имя папки"
"Create Folder";"Создать папку"
"Subfolders";"Подпапки"
"Full path";"Полный путь"
"Files";"Файлы"
"New Name";"Новое имя"
"Select the files to upload";"Выберите файлы для загрузки"
"Media Root";"Корень медиа"
"You do not have any media files on the server";"У вас нет никаких медиа на сервере"
"Modules";"Модули"
"CMS Modules";"Модули CMS"
"Digitalus CMS uses a system of modules to add custom functionality to your site.";"Digitalus CMS использует систему модулей для добавления кастомизированной функциональности для вашего сайта."
"Select the module page";"Выбрать страницу модуля"
"My Modules";"Мои модули:"
"Navigation";"Навигация"
"Open Menu";"Открыть меню"
"Update Menu";"Обновить меню"
"Save Changes";"Сохранить"
"Main Menu";"Главное меню"
"Pages";"Страницы"
"Page";"Страница"
"Page Title";"Название страницы"
"Filename";"Имя файла"
"Step 3: Enter the name for your page";"Шаг3: Введите имя вашей страницы"
"Page Name";"Имя страницы"
"Create Page";"Создать страницу"
"Page Options";"Опции страницы"
"Page Head and Meta Data";"Заголовок страницы и мета-данные"
"Properties";"Свойства"
"Move Page";"Переместить страницу"
"Page Versions";"Версии страницы"
"Update Page";"Обновить страницу"
"Edit Meta Data";"Редактировать мета-данные"
"Edit Page Properties";"Редактировать свойства страницы"
"Current design";"Текущий дизайн"
"Open design";"Открыть дизайн"
"The design is not yet set for this page.";"Дизайн для этой страницы еще не установлен"
"Other designs";"Другие дизайны"
"Make current";"Сделать текущей"
"Click the new parent page for this page to move it.";"Кликнуть но новой родительской странице для этой страницы чтобы перенести ее"
"Property";"Свойство"
"Value";"Значение"
"Remove";"Удалить"
"Add a new property";"Добавить новое свойство"
"Update properties";"Обновить свойства"
"My Pages";"Мои страницы"
"Create a Page";"Создать страницу"
"To create a new page...";"Чтобы создать новую страницу..."
"Step 1: Select the parent section";"Шаг 1: Выберите родительскую секцию"
"Parent Page";"Родительская страница"
"Next >>";"Дальше >>"
"Current Version";"Текущая версия"
"Available Versions";"Доступные версии"
"Default";"Значение по умолчанию"
"Select a type";"Выберите тип"
"Site Root";"Корень сайта"
"Site Settings";"Настройки сайта"
"Site Console";"Консоль сайта"
"About the Console";"О консоли"
"The site console enables you to interact directly with the CMS core.";"Эта консоль сайта позвоняет вам напрямую взаимодействовать с ядром системы."
"It is for experienced administrators only.";"Это только для опытных администраторов."
"Digitalus Console";"Настройки сайта"
"Info";"Информация"
"General";"Общие"
"Internationalization";"Интернационализация"
"General settings";"Общие настройки"
"Site name";"Имя сайта"
"Status";"Статус"
"Site is online";"Сайт онлайн"
"Update General Site Settings";"Обновить общие настройки сайта"
"Managing Content";"Управление содержимым"
"Home Page";"Главная"
"404 Page";"Ошибка 404"
"Menu links";"Ссылки меню"
"Automatically add menu links";"Автоматически добавлять ссылки в меню"
"Update Content Settings";"Обновить настройки содержимого"
"Default charset";"Кодировка по умолчанию"
"Default language";"Язык по умолчанию"
"Update Internationalization Settings";"Обновить настройки интернационализации"
"Mail Settings";"Настройки почты"
"Default email address";"E-mail по умолчанию"
"Default sender";"Отправитель по умолчанию"
"Transport";"Транспорт"
"Use SMTP transport";"Использовать SMTP"
"SMTP host";"SMTP хост"
"SMTP username";"Имя пользователя для SMTP"
"SMTP password";"Пароль для SMTP"
"Update Mail Settings";"Обновить настройки почты"
"Google Integration";"Интеграция с Google"
