# Language File – BACKEND
# HUNGARIAN
# languages
"english";"angol"
"french";"francia"
"german";"német"
"italian";"olasz"
"polish";"lengyel"
"russian";"orosz"
"spanish";"spanyol"
"swedish";"svéd"
# admin section -- Auth --
"Login";"Belépés"
"The username or password you entered was not correct.";"A felhasználói név vagy a jelszó hibás"
"Your password has been reset for security and sent to your email address";"Jelszavát biztonsági okokból újrageneráltuk és email címere elküldtük"
"Sorry, there was an error sending you your updated password. Please contact us for more help.";"Sajnos az új jelszó küldése sikertelen volt, kérjük lépjen kapcsolatba az oldal üzemeltetőjével"
"Sorry, we could not locate your account. Please contact us to resolve this issue.";"Felhasználófiókja nem elérhető, kérjük lépjen velünk kapcsolatba!"
"OpenID Login";"OpenID belépés"
"Need Help?";"Segítségre van szüksége?"
"Digitalus CMS gives You the possibilty to use Your existing OpenID to login to the administrator area.";"A Digitalus CMS adminisztrátori felületéhez meglévő OpenID-vel is hozzáférhet"
"If you are having trouble logging in please enter your email address below and we will send you your login credentials.";"Amennyiben nem tud bejelentkezni kérjük adja meg email címét és mi elküldjük  belépési adatait"
"Reset Password";"Új jelszó generálása"
"Administrator Login";"Adminisztrátor belépés"
"Please enter your username (this is your email address) and password to get started.";"Kérem adja meg felhasználó nevét  (email címe ) a kezdéshez"
"Standard Login";"Standard belépés"
"Return to the standard login using Your username and password.";"Vissza a standard belépéshez felhazsnálói nevével és jelszavával"
"Administrator OpenID Login";" Bejelentkzés Adminisztrátor ként OpenID-vel "
"Please enter your OpenID. You will be redirected to Your OpenId provider to authorize.";"Kéerm adja meg OpenID-jét, ezután az oldalt átirányítjuk az OpenID-n való bejelentkezéshez"
# admin section -- Design --
"Design";"Dizájn"
"Open";"Megnyit"
"Add to my bookmarks";"Könyvjezők közé tesz"
"Delete";"Töröl"
"Design Options";"Dizájn beállítások"
"Create a new design";"Új dizájn létrehozása"
"Design Name";"Dizájn neve"
"Design Notes";"Dizájn megjegyzések"
"Create Design";"Dizájnt létrehoz"
"Current Designs";"Aktuális dizájn"
"Tools";"Eszközök"
"Preview Design";"Dizájn előnézete"
"Who Uses This?";"Ki használja ezt?"
"These are the pages that use this design:";"A dizájnt használja egy vagy több oldal"
"No pages use this design currently.";"Ezt a ditájnt nem használja egy oldal sem"
"Update Design";"Dizájn frissítése"
"Design details";"Dizájn részletei"
"This is the default site design";"Ez az alapbeállított dizájn"
"Layout";"Kiosztás"
"Skin";"Sablon"
# admin section -- Error --
"Sorry, you are not authorized to edit this resource!";"Sajnos az elem módosításához nincs joga"
# admin section -- Index --
"Home";"Főoldal"
"Your bookmark was saved successfully.";"A könyvjelző elmentve"
"My Content";"Saját tartalmaim"
"The following pages are the pages that you have recently created.";"Legfrissebb létrehozott oldalak"
"These are the modules that you are working with.";"Legtöbbet használt modul"
"These pages have not been published yet.";"Ezek az oldalak még nem lettek publikálva"
"My Dashboard";"Jegyzettömb"
"My Account";"Fiókom"
"First Name";"Keresznév"
"Last Name";"Családnév"
"Email";"email"
"Update Password?";"Jeszó frissítése"
"Password";"Jelszó"
"Confirm";"Rendben"
"Update My Account";"Fiókom frissítése"
"My Bookmarks";"Könyvjelzőim"
"You do not have any bookmarks.";"Még nincs könyvjelző"
"My Writeboard";"Jegyzeteim"
"The writeboard is a personal spot for you to keep notes about your site.";"Jegyzetfüzeten az oldallal kapcsolat megjegyzések találhatók"
"Save My Writeboard";"Jegyzetfüzet mentése"
"Digitalus CMS is a community supported open source project. To learn more about the project check out";"A Digitalus egy nyitott forráskódú project, továbbiakat megtudhat "
"Digitalus Site";"Digitalus oldal"
"Wiki";"Wiki"
"Forum";"Fórum"
# admin section -- Media --
"Media";"Média"
"Open Folder";"Mappa megnyitása"
"Options";"Beállítások"
"Media Manager";"Média menedzser"
"Create New Folder";"Új mappa létrehozása"
"Browse Folder";"Mappa böngészése"
"Upload Media";"Média feltöltése"
"Create Subfolder";"Almappa létrehozása"
"Rename Folder";"Mappa átnevezése"
"Current Folder";"Aktuális mappa"
"Media Root";"Média gyökrkönyvtár"
"Current folder contents";"Aktuális mappa tartalma"
"Upload Files";"Fájl feltöltése"
"Rename folder";"Mappát átnevez"
"Folder Name";"Mappa neve"
"Create Folder";"Új mappát létrehoz"
"Subfolders";"Almappák"
"Full path";"teljes elérési út"
"Files";"Fjlok"
"New Name";"Új név"
"Select the files to upload";"Válassza ki a feltöltendő fájlokat"
"You do not have any media files on the server";"Még nincs média fájl a szerveren"
# admin section -- Module --
"Modules";"Modulok"
"Download";"Letöltés"
"CMS Modules";"CMS modulok"
"Digitalus CMS uses a system of modules to add custom functionality to your site.";"A Digitalus CMS moduláris szerkezető, funkcionalitását modulokkal bővítheti"
"Select the module page";"Modul oldalának kiválasztása"
"My Modules";"Moduljaim"
# admin section -- Navigation --
"Navigation";"Navigáció"
"Open Menu";"Menü megnyitása"
"Current Menu";"Aktuális menü"
"Update Menu";"Menü frissítése"
"click to toggle visibility";"kattintson a láthatóság ki/be kapcsolásához"
"Save Changes";"Változások mentése"
"Main Menu";"Fóőmenü"
# admin section -- Page --
"Pages";"Oldalak"
"Sorry, there was an error adding your page";"Hiba történt az oldal hozzáadásakor"
"Sorry, there was an error opening your page";"Hiba történt az oldal megnyitásakor"
"Page";"Oldalak"
"Page Title";"Oldal címe"
"Filename";"Fájl neve"
"Meta Description";"Meta leírás"
"Meta Keywords";"Meta kulcsszavak"
"Search Tags";"Keresési cimkék"
"Update Meta Data";"Meta adatok mentése"
"Publish or Archive Page";"Publikálja vagy archiválja az oldalt"
"Publish or Archive";"Publikál vagy archivál"
"Step 3: Enter the name for your page";"3. lépés: Adja meg az oldal nevét"
"Page Name";"Oldal neve"
"Create Page";"Oldal létrehozás"
"Page Options";"Oldal beállítása"
"Content Sections";"Tartalmi szekciók"
"Page Head and Meta Data";"Oldal head és Meta adatai"
"Properties";"Tulajdonságok"
"Attachments";"Csatolt elemek"
"Related Content";"Kapcsolódó tartalom"
"Content Template";"Tartalom sablon"
"Move Page";"Oldal mozgatása"
"Publish / Archive";"Publikál vagy archivál"
"Page Versions";"Oldal verziói"
"Update Page";"Oldal frissítése"
"Edit Meta Data";"Meta adatok módosítása"
"Edit Page Properties";"Oldal tulajdonságai"
"Publish / Archive Page";"Publikál vagy archivál"
"Content";"Tartalom"
"Current design";"Aktuális dizájn"
"Open design";"Dizájn megynitása"
"The design is not yet set for this page.";"Az oldal dizájnja még nics beállítva"
"Other designs";"További dizájnok"
"Make current";"Aktuális beállítása"
"Click the new parent page for this page to move it.";"Az oldal mozgatásához kattintson az új szülő oldalra "
"Remove";"Töröl"
"Property";"Tulajdonságok"
"Value";"Érték"
"Add a new property";"Uj tulajdonság hozzáadása"
"Update properties";"Tulajdonságok mentése"
"Publish";"Publikál"
"Unpublish";"blikálás visszavonása"
"Archive";"Archivál"
"The following pages have not been published yet!";"A következő oldalak nem lettek publikálva"
"Change the status of this page.";"Az oldal státusának módosítása"
"This page was published on";"Az oldal pulikálásának dátuma"
"This page was archived on";"Az oldal archiválásának dátuma"
"The status of this page is";"Az oldal státusa"
"Change publishing state";"Publikálás módosítása"
"Update Related Content";"Kapcsolódó tartalmak frissítése"
"Select the template for this page";"Oldal sablonjának kiválasztása"
"Update Content Template";"Sablon frissítése"
"My Pages";"Oldalaim"
"Create a Page";"Új oldal létrehozása"
"To create a new page...";"Az úl oldal létrehozásához..."
"Step 1: Select the parent section";"1. Lépés: vállaszom egy szülő szekciót"
"Parent Page";"Szülő oldal"
"Next >>";"Következő>>"
"Current Version";"Aktuális verzió"
"Available Versions";"Elérhető verziók"
"Default";"Alapbeállítás"
"Step 2: What type of page would you like to create?";"2.Lépés:milyen tipusu oldalt szeretne létrehozni"
